country,nuts_1,nuts_2,cases,deaths,hospitalized,intensive_care,datetime
BE,Wallonia,Luxembourg,1742.0,,0.0,0.0,2020-08-14
BE,Wallonia,BrabantWallon,1875.0,,2.0,0.0,2020-08-14
BE,MISSING,MISSING,1910.0,,,,2020-08-14
BE,Wallonia,Namur,2857.0,,16.0,1.0,2020-08-14
BE,Flanders,VlaamsBrabant,6399.0,,12.0,4.0,2020-08-14
BE,Flanders,Limburg,7472.0,,15.0,6.0,2020-08-14
BE,Flanders,WestVlaanderen,8062.0,,19.0,2.0,2020-08-14
BE,Wallonia,Hainaut,8156.0,,29.0,2.0,2020-08-14
BE,Flanders,OostVlaanderen,8216.0,,19.0,2.0,2020-08-14
BE,Wallonia,Liège,8595.0,,36.0,10.0,2020-08-14
BE,Brussels,Brussels,8731.0,,81.0,20.0,2020-08-14
BE,Flanders,Antwerpen,14283.0,,83.0,33.0,2020-08-14
