country,nuts_1,nuts_2,cases,deaths,hospitalized,intensive_care,datetime
BE,MISSING,MISSING,6220.0,,,,2020-10-25
BE,Wallonia,Luxembourg,8764.0,,126.0,22.0,2020-10-25
BE,Wallonia,BrabantWallon,15182.0,,96.0,10.0,2020-10-25
BE,Flanders,Limburg,15726.0,,149.0,33.0,2020-10-25
BE,Wallonia,Namur,18587.0,,275.0,46.0,2020-10-25
BE,Flanders,WestVlaanderen,24169.0,,365.0,51.0,2020-10-25
BE,Flanders,VlaamsBrabant,28819.0,,146.0,26.0,2020-10-25
BE,Flanders,OostVlaanderen,29435.0,,454.0,70.0,2020-10-25
BE,Flanders,Antwerpen,43840.0,,488.0,107.0,2020-10-25
BE,Wallonia,Hainaut,51229.0,,882.0,111.0,2020-10-25
BE,Brussels,Brussels,53691.0,,895.0,145.0,2020-10-25
BE,Wallonia,Liège,55488.0,,949.0,135.0,2020-10-25
