country,nuts_3,nuts_3_code,cases,deaths,tests,hospitalized,intensive_care,datetime
CH,Zug,ZG,392.0,,,0.0,,2020-09-12
CH,Schwyz,SZ,527.0,25.0,,,,2020-09-12
CH,Thurgau,TG,635.0,19.0,,3.0,2.0,2020-09-12
CH,Neuchâtel,NE,980.0,,,1.0,0.0,2020-09-12
CH,Grisons,GR,1049.0,50.0,,1.0,0.0,2020-09-12
CH,Basel-Stadt,BS,1265.0,54.0,,3.0,1.0,2020-09-12
CH,Fribourg,FR,2073.0,88.0,,20.0,1.0,2020-09-12
CH,Berne,BE,2810.0,99.0,,,,2020-09-12
CH,Zürich,ZH,6962.0,144.0,,22.0,,2020-09-12
CH,,,46072.0,2021.0,72603.0,124.0,15.0,2020-09-12
CH,Aargau,AG,,,,,,2020-09-12
CH,Appenzell Innerrhoden,AI,,,,,,2020-09-12
CH,Appenzell Ausserrhoden,AR,,,,,,2020-09-12
CH,Basel-Landschaft,BL,,,,,,2020-09-12
CH,Geneva,GE,,,,,,2020-09-12
CH,Glarus,GL,,,,,,2020-09-12
CH,Jura,JU,,,,,,2020-09-12
CH,Lucerne,LU,,,,,,2020-09-12
CH,Nidwalden,NW,,,,,,2020-09-12
CH,Obwalden,OW,,,,,,2020-09-12
CH,St. Gallen,SG,,,,,,2020-09-12
CH,Schaffhausen,SH,,,,,,2020-09-12
CH,Solothurn,SO,,,,,,2020-09-12
CH,Ticino,TI,,,,,,2020-09-12
CH,Uri,UR,,,,,,2020-09-12
CH,Vaud,VD,,,,,,2020-09-12
CH,Valais,VS,,,,,,2020-09-12
