country,nuts_3,nuts_3_code,cases,deaths,tests,hospitalized,intensive_care,datetime
CH,Nidwalden,NW,139.0,3.0,,1.0,1.0,2020-09-12
CH,Jura,JU,289.0,7.0,,5.0,0.0,2020-09-12
CH,Zug,ZG,392.0,9.0,,0.0,,2020-09-12
CH,Schwyz,SZ,527.0,25.0,,,,2020-09-12
CH,Thurgau,TG,639.0,19.0,,3.0,2.0,2020-09-12
CH,Neuchâtel,NE,981.0,86.0,,1.0,0.0,2020-09-12
CH,Grisons,GR,1049.0,50.0,,1.0,0.0,2020-09-12
CH,Basel-Landschaft,BL,1137.0,36.0,,2.0,0.0,2020-09-12
CH,Basel-Stadt,BS,1265.0,54.0,,3.0,1.0,2020-09-12
CH,St. Gallen,SG,1411.0,,,,,2020-09-12
CH,Fribourg,FR,2073.0,88.0,,20.0,1.0,2020-09-12
CH,Aargau,AG,2351.0,53.0,,,,2020-09-12
CH,Valais,VS,2498.0,156.0,,7.0,0.0,2020-09-12
CH,Berne,BE,2810.0,99.0,,,,2020-09-12
CH,Zürich,ZH,6961.0,145.0,,22.0,,2020-09-12
CH,Geneva,GE,7591.0,304.0,,15.0,,2020-09-12
CH,Vaud,VD,8693.0,440.0,,31.0,3.0,2020-09-12
CH,,,46998.0,2035.0,72603.0,145.0,17.0,2020-09-12
CH,Appenzell Innerrhoden,AI,,,,,,2020-09-12
CH,Appenzell Ausserrhoden,AR,,,,,,2020-09-12
CH,Glarus,GL,,,,,0.0,2020-09-12
CH,Lucerne,LU,,,,,,2020-09-12
CH,Obwalden,OW,,,,,,2020-09-12
CH,Schaffhausen,SH,,,,,,2020-09-12
CH,Solothurn,SO,,,,,,2020-09-12
CH,Ticino,TI,,,,,,2020-09-12
CH,Uri,UR,,,,,,2020-09-12
