country,nuts_3,nuts_3_code,cases,deaths,tests,hospitalized,intensive_care,datetime
CH,Nidwalden,NW,124.0,3.0,,0.0,0.0,2020-06-13
CH,Jura,JU,206.0,7.0,,1.0,0.0,2020-06-13
CH,Zug,ZG,211.0,9.0,,1.0,0.0,2020-06-13
CH,Schwyz,SZ,308.0,23.0,,,,2020-06-13
CH,Thurgau,TG,384.0,18.0,,1.0,0.0,2020-06-13
CH,Neuchâtel,NE,737.0,,,3.0,0.0,2020-06-13
CH,Grisons,GR,830.0,50.0,,1.0,0.0,2020-06-13
CH,Basel-Landschaft,BL,846.0,35.0,,0.0,0.0,2020-06-13
CH,Basel-Stadt,BS,983.0,50.0,,3.0,2.0,2020-06-13
CH,Fribourg,FR,1179.0,84.0,,3.0,1.0,2020-06-13
CH,Aargau,AG,1226.0,,,,,2020-06-13
CH,Berne,BE,1933.0,97.0,,1.0,0.0,2020-06-13
CH,Valais,VS,1977.0,153.0,,13.0,2.0,2020-06-13
CH,Ticino,TI,3318.0,350.0,,9.0,0.0,2020-06-13
CH,Zürich,ZH,3650.0,130.0,,8.0,,2020-06-13
CH,Geneva,GE,5227.0,293.0,,,,2020-06-13
CH,Vaud,VD,5483.0,422.0,,30.0,3.0,2020-06-13
CH,,,31122.0,1956.0,37875.0,218.0,15.0,2020-06-13
CH,Appenzell Innerrhoden,AI,,,,,,2020-06-13
CH,Appenzell Ausserrhoden,AR,,,,,,2020-06-13
CH,Glarus,GL,,,,,,2020-06-13
CH,Lucerne,LU,,,,,,2020-06-13
CH,Obwalden,OW,,,,,,2020-06-13
CH,St. Gallen,SG,,,,,,2020-06-13
CH,Schaffhausen,SH,,,,,,2020-06-13
CH,Solothurn,SO,,,,,,2020-06-13
CH,Uri,UR,,,,,,2020-06-13
