country,nuts_3,nuts_3_code,cases,deaths,tests,hospitalized,intensive_care,datetime
CH,Schaffhausen,SH,78.0,6.0,,5.0,3.0,2020-05-18
CH,Obwalden,OW,79.0,0.0,,0.0,,2020-05-18
CH,Uri,UR,93.0,7.0,,5.0,,2020-05-18
CH,Appenzell Ausserrhoden,AR,99.0,3.0,,1.0,1.0,2020-05-18
CH,Nidwalden,NW,123.0,3.0,,0.0,0.0,2020-05-18
CH,Glarus,GL,128.0,12.0,,2.0,,2020-05-18
CH,Zug,ZG,199.0,8.0,,0.0,0.0,2020-05-18
CH,Jura,JU,202.0,7.0,,3.0,2.0,2020-05-18
CH,Schwyz,SZ,307.0,23.0,,,,2020-05-18
CH,Thurgau,TG,379.0,17.0,,6.0,4.0,2020-05-18
CH,Solothurn,SO,432.0,16.0,,,,2020-05-18
CH,Neuchâtel,NE,719.0,83.0,,11.0,2.0,2020-05-18
CH,Lucerne,LU,726.0,20.0,,26.0,4.0,2020-05-18
CH,St. Gallen,SG,806.0,36.0,,8.0,1.0,2020-05-18
CH,Grisons,GR,824.0,49.0,,4.0,2.0,2020-05-18
CH,Basel-Landschaft,BL,838.0,35.0,,3.0,0.0,2020-05-18
CH,Basel-Stadt,BS,974.0,50.0,,12.0,3.0,2020-05-18
CH,Fribourg,FR,1147.0,84.0,,16.0,4.0,2020-05-18
CH,Aargau,AG,1188.0,44.0,,7.0,1.0,2020-05-18
CH,Berne,BE,1863.0,96.0,,29.0,2.0,2020-05-18
CH,Valais,VS,1937.0,152.0,,24.0,7.0,2020-05-18
CH,Ticino,TI,3285.0,343.0,,56.0,5.0,2020-05-18
CH,Zürich,ZH,3563.0,127.0,,33.0,,2020-05-18
CH,Geneva,GE,5339.0,290.0,32337.0,171.0,5.0,2020-05-18
CH,Vaud,VD,5419.0,422.0,,49.0,12.0,2020-05-18
CH,,,30772.0,1933.0,32979.0,479.0,58.0,2020-05-18
CH,Appenzell Innerrhoden,AI,,,,,,2020-05-18
