country,nuts_3,nuts_3_code,cases,deaths,tests,hospitalized,intensive_care,datetime
CH,Nidwalden,NW,1256.0,12.0,,4.0,3.0,2020-12-19
CH,Jura,JU,4182.0,103.0,,22.0,1.0,2020-12-19
CH,Zug,ZG,4327.0,57.0,,21.0,4.0,2020-12-19
CH,Schwyz,SZ,6717.0,124.0,,,,2020-12-19
CH,Grisons,GR,7213.0,128.0,,29.0,7.0,2020-12-19
CH,Basel-Stadt,BS,7273.0,125.0,,130.0,19.0,2020-12-19
CH,Basel-Landschaft,BL,9504.0,132.0,,58.0,4.0,2020-12-19
CH,Thurgau,TG,10314.0,160.0,,72.0,18.0,2020-12-19
CH,Neuchâtel,NE,10943.0,295.0,,46.0,5.0,2020-12-19
CH,Ticino,TI,20511.0,691.0,,303.0,42.0,2020-12-19
CH,Fribourg,FR,22433.0,395.0,,49.0,10.0,2020-12-19
CH,St. Gallen,SG,24485.0,,,,,2020-12-19
CH,Berne,BE,38115.0,554.0,,,,2020-12-19
CH,,,400684.0,6618.0,268883.0,2461.0,453.0,2020-12-19
CH,Aargau,AG,,,,,,2020-12-19
CH,Appenzell Innerrhoden,AI,,,,,,2020-12-19
CH,Appenzell Ausserrhoden,AR,,,,,,2020-12-19
CH,Geneva,GE,,,,-16.0,16.0,2020-12-19
CH,Glarus,GL,,,,,,2020-12-19
CH,Lucerne,LU,,,,,,2020-12-19
CH,Obwalden,OW,,,,,,2020-12-19
CH,Schaffhausen,SH,,,,,,2020-12-19
CH,Solothurn,SO,,,,,,2020-12-19
CH,Uri,UR,,,,,,2020-12-19
CH,Vaud,VD,,,,,,2020-12-19
CH,Valais,VS,,,,,,2020-12-19
CH,Zürich,ZH,,,,,,2020-12-19
